kit,system,system_label,token_nll,token_ppl,token_acc,rmse,mae,mr_stft_sc,env_rms_corr,tter_db_mae,onset_precision,onset_recall,onset_f1,fad
Raw Dnb (Layered Hybrid),dac,dac_allkits,6.043637559935237,519.2453629274947,0.06566228002364029,0.02193836423836273,0.01111455343511484,1.0600678996200736,0.6158199822321043,2.535260458150907,0.755935541454362,0.6297015686943862,0.6655625875813067,
Raw Dnb (Layered Hybrid),encodec,encodec_allkits,2.2831715676074174,12.476801844982429,0.3974600654152093,0.023114860782154772,0.012030981397175063,0.8048332903752514,0.7359387700757202,1.441601871114076,0.790256498086263,0.6405010113346205,0.6823431450148603,
Raw Dnb (Layered Hybrid),xcodec,xcodec_allkits,4.436432555394645,101.17732279326103,0.12352043676193675,0.029278243198372782,0.015195944235406275,1.1249558584227823,0.6334979459634372,2.2843940038498354,0.7625485500549742,0.615069018914936,0.6607956580052544,
Rockin Gate (80s),dac,dac_allkits,6.126532692692373,493.9299130237063,0.044990861014971094,0.01455204697881476,0.00728312576786721,1.001639505747426,0.6576016775281283,1.2833980916312608,0.7876396699601327,0.6867765406997212,0.7108311979079879,
Rockin Gate (80s),encodec,encodec_allkits,2.0287231615823385,9.584921548693867,0.4622035750478595,0.015273679660659463,0.007604459564294142,0.8306701995545578,0.7243749793968393,1.1138969153124147,0.8122678239227377,0.6934407273782491,0.7245875988979991,
Rockin Gate (80s),xcodec,xcodec_allkits,4.465119570561896,106.41856638442029,0.12194908378701265,0.018859808228728292,0.00922824530676683,1.0812512372762497,0.6396204081483007,1.5722705947315196,0.8330607236490165,0.6825466520634041,0.7287135767985919,
Second Line,dac,dac_allkits,6.25032157933412,565.1864524083843,0.041768109600496976,0.02193164223504942,0.011829678583162275,1.2972220305877697,0.49237991207172027,1.8251182070756573,0.7555819585491931,0.6611108912367747,0.6821448302353883,
Second Line,encodec,encodec_allkits,2.247717520286003,13.114974348857585,0.4233571906171624,0.018090067704434477,0.00982512090810355,0.7963844160474075,0.7350860596226767,1.3950030399846982,0.7938225467004025,0.6910839134398316,0.7208733785890621,
Second Line,xcodec,xcodec_allkits,4.4663598886616445,111.27767592060736,0.12481302816204917,0.03293355266144404,0.01761081746946987,1.821292591647375,0.6196930118569559,2.514980155138301,0.7777293216207702,0.6278895266715874,0.67281791839995,
Shuffle (Blues),dac,dac_allkits,6.169479740539413,521.7093287230563,0.04753182783854328,0.013110636926472524,0.00629327399103286,1.0795905157910164,0.679848185289576,2.458589974580251,0.7832981242104937,0.6662262429804188,0.6971506879444357,
Shuffle (Blues),encodec,encodec_allkits,1.8309764889739006,7.890587251620991,0.5045286985279043,0.013428871239597516,0.006580648852238223,0.825967393945376,0.7350900612477372,1.403526937828624,0.8311604551165381,0.5756862342930883,0.6590456029162105,
Shuffle (Blues),xcodec,xcodec_allkits,4.488491433923696,109.76721741831247,0.1209111269295487,0.02521300457754153,0.013890701209891105,2.0717801571763803,0.4732939185882751,2.09961128596495,0.755110601126128,0.6638030328755012,0.6846035357711271,
Speed Metal,dac,dac_allkits,6.28725858871533,572.0383075388373,0.037148122802870255,0.01948659884480998,0.009710201667279329,0.9676510495103923,0.6155338463172434,1.7127657061876256,0.740202155898391,0.7005139622075439,0.6984240091707155,
Speed Metal,encodec,encodec_allkits,2.175222268502827,11.404825455112285,0.43168108118834836,0.02169127798138404,0.010495005848570955,0.8318846697901238,0.7155291609494249,1.30091364141739,0.7628401988840513,0.6652382490968873,0.6872063702412579,
Speed Metal,xcodec,xcodec_allkits,4.5473155837582775,114.88104165253684,0.11026301950284183,0.032391959992563855,0.016944334133780922,1.4081729600715547,0.5464437408297668,2.5201598901231765,0.7452416922355396,0.6692785026011671,0.6831744422949872,
Studio (Live Room),dac,dac_allkits,6.22991068440297,547.6127010640954,0.037524796473476375,0.013147570011803063,0.0063812007217024305,1.0050508026738199,0.6013345707083736,1.5697965134762917,0.7391101199691622,0.6887926758459956,0.6889136908119756,
